District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
bankura,2016,3,SEMI-MEDIUM (2.0 - 3.99),37365,13258,7633,536,2544,3348,439257600,0,0,0,17409600,22498560,206236800,8035200,5356800,110751840,15400800,0,756246240,40845600,27855360,824947200,58790880,47943360,649512000,756246240,0
bankura,2016,4,MEDIUM (4.0 - 9.99),4531,1470,980,0,245,367,127358400,0,0,0,0,0,48984000,0,0,14695200,0,0,191037600,0,0,191037600,7347600,2449200,181240800,191037600,244
bankura,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birbhum,2006,1,MARGINAL (BELOW 1.0),213056,28482,8361,1238,15483,3716,28087469,0,0,0,10219255,0,97702279,10219255,26941674,26012651,0,0,151802399,20438510,26941674,199182583,20438511,9228297,122135591,151802399,309
birbhum,2006,2,SMALL (1.0 - 1.99),59903,6175,2135,288,3289,577,15235445,0,0,0,1385040,173130,21900952,1038780,2770080,6348102,288550,0,43484499,2712370,2943210,49140079,7675432,836795,34972272,43484499,57
birbhum,2006,3,SEMI-MEDIUM (2.0 - 3.99),26449,4441,1531,176,2415,589,12276105,0,0,0,647971,971956,29011430,5301581,3652200,9336673,589064,0,50624208,6538616,4624156,61786980,6347170,897439,43379599,50624208,58
birbhum,2006,4,MEDIUM (4.0 - 9.99),1848,324,186,16,152,0,2458348,0,0,0,237357,0,1898862,118678,0,0,0,0,4357210,356035,0,4713245,186495,0,4170715,4357210,16
birbhum,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birbhum,2016,1,MARGINAL (BELOW 1.0),229949,19646,1288,322,9018,9018,24154500,0,0,0,9661800,0,126247520,40901620,0,161352060,0,0,311754080,50563420,0,362317500,54750200,21255960,235747920,311754080,5153
birbhum,2016,2,SMALL (1.0 - 1.99),57986,8963,885,553,3984,3873,35189880,0,0,0,30984800,21910680,103688420,6860920,18812200,109442740,0,0,248321040,37845720,40722880,326889640,37403080,19697480,191220480,248321040,0
birbhum,2016,3,SEMI-MEDIUM (2.0 - 3.99),25557,4216,0,0,2240,1976,0,0,0,0,0,0,76277460,6587000,9221800,71139600,6587000,0,147417060,13174000,9221800,169812860,20551440,6587000,120278620,147417060,0
birbhum,2016,4,MEDIUM (4.0 - 9.99),1179,168,0,0,84,84,0,0,0,0,0,0,5474300,0,0,3789900,0,0,9264200,0,0,9264200,4421550,842200,4000450,9264200,0
birbhum,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burdwan,2006,1,MARGINAL (BELOW 1.0),343338,92965,51949,944,35420,5194,512126172,0,0,0,708400,1416800,381355481,97286971,6611735,55727488,158209394,0,949209141,256204765,8028535,1213442441,132990344,20449154,795769643,949209141,472
burdwan,2006,2,SMALL (1.0 - 1.99),89518,14217,7129,609,5423,1340,136287955,0,0,0,12187610,3656283,90188318,8714141,9750088,26447115,8836017,9993840,252923388,29737768,23400211,306061367,36541503,14046221,202335664,252923388,60
burdwan,2006,3,SEMI-MEDIUM (2.0 - 3.99),31736,11889,5377,1052,4792,1052,153858231,0,0,0,49620375,8182394,115663985,20105311,15780331,19287071,9935764,16949244,288809287,79661450,40911969,409382706,34655945,13793178,240360164,288809287,58
burdwan,2006,4,MEDIUM (4.0 - 9.99),5359,2161,965,253,888,253,42059260,0,0,0,11683127,4190687,40840151,761943,5333601,5612981,1269905,11378350,88512392,13714975,20902638,123130005,30807900,2235033,55469459,88512392,25
burdwan,2006,5,LARGE (10 AND ABOVE),65,43,43,0,0,0,4279166,0,0,0,0,0,0,0,0,0,0,0,4279166,0,0,4279166,0,0,4279166,4279166,0
cooch behar,2016,1,MARGINAL (BELOW 1.0),257222,38024,9692,0,7456,20876,205031750,0,0,0,0,0,164025400,37278500,0,866352340,0,0,1235409490,37278500,0,1272687990,484620500,321340670,429448320,1235409490,24604
cooch behar,2016,2,SMALL (1.0 - 1.99),47763,17173,4830,0,5546,6798,175133310,0,0,0,0,0,114847380,75133800,0,330588720,10733400,0,620569410,85867200,0,706436610,191948970,154918740,273701700,620569410,3222
cooch behar,2016,3,SEMI-MEDIUM (2.0 - 3.99),19114,5719,1505,0,2107,2107,57190000,0,0,0,0,0,59899000,15050000,0,103167750,0,0,220256750,15050000,0,235306750,57491000,65467500,97298250,220256750,905
cooch behar,2016,4,MEDIUM (4.0 - 9.99),152,35,0,0,23,12,0,0,0,0,0,0,198730,0,0,58450,0,0,257180,0,0,257180,140280,0,116900,257180,36
cooch behar,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coochbehar,2006,1,MARGINAL (BELOW 1.0),249395,34744,3088,772,21619,9265,26252105,0,0,0,0,54048452,836592825,19303018,0,77984195,0,47099365,940829125,19303018,101147817,1061279960,40150278,35517554,865161293,940829125,772
coochbehar,2006,2,SMALL (1.0 - 1.99),50720,7695,984,656,5088,1805,19697087,0,0,0,1969708,10012686,75669644,9684401,15839741,16168025,2462135,13787961,111534756,14116244,39640388,165291388,23062006,19204660,69268090,111534756,164
coochbehar,2006,3,SEMI-MEDIUM (2.0 - 3.99),20759,4958,734,367,2755,1102,11683826,0,0,0,3214889,10287646,47901851,8909836,1102247,19105628,6429778,0,78691305,18554503,11389893,108635701,8496493,7807588,62387224,78691305,91
coochbehar,2006,4,MEDIUM (4.0 - 9.99),391,52,10,0,92,10,411578,0,0,0,0,0,2109342,308684,926052,0,0,3086842,2520920,308684,4012894,6842498,895184,329263,1296473,2520920,10
coochbehar,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darjeeling,2006,1,MARGINAL (BELOW 1.0),86284,3382,0,845,2537,0,0,0,0,0,25377647,0,104894274,0,0,0,0,0,104894274,25377647,0,130271921,0,0,104894274,104894274,0
darjeeling,2006,2,SMALL (1.0 - 1.99),13040,948,0,338,846,0,0,0,0,0,5080519,0,10398129,3387012,0,0,0,0,10398129,8467531,0,18865660,0,0,10398129,10398129,0
darjeeling,2006,3,SEMI-MEDIUM (2.0 - 3.99),3802,345,0,0,276,69,0,0,0,0,0,0,1935563,0,0,0,691272,0,1935563,691272,0,2626835,0,0,1935563,1935563,69
darjeeling,2006,4,MEDIUM (4.0 - 9.99),407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darjeeling,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darjeeling,2016,1,MARGINAL (BELOW 1.0),69692,5906,0,0,2953,2953,0,0,0,0,0,0,67920150,0,0,49020630,0,0,116940780,0,0,116940780,5906100,8859150,102175530,116940780,1773
darjeeling,2016,2,SMALL (1.0 - 1.99),10336,2215,0,0,738,1477,0,0,0,0,0,0,18457500,2953200,0,73534680,0,0,91992180,2953200,0,94945380,0,0,91992180,91992180,148
darjeeling,2016,3,SEMI-MEDIUM (2.0 - 3.99),1535,295,0,0,118,177,0,0,0,0,0,0,5313600,0,0,6494400,0,0,11808000,0,0,11808000,0,0,11808000,11808000,0
darjeeling,2016,4,MEDIUM (4.0 - 9.99),12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darjeeling,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinajpur (north),2006,1,MARGINAL (BELOW 1.0),219300,26183,3273,2727,19638,545,14729104,0,0,0,15820149,3818656,146745522,8182835,2727611,2182089,0,0,163656715,24002984,6546267,194205966,26075970,545522,137035223,163656715,545
dinajpur (north),2006,2,SMALL (1.0 - 1.99),50046,5035,162,812,3574,487,974922,0,0,0,8449324,1624870,30141340,3818444,6580724,4996475,2193574,0,36112737,14461342,8205594,58779673,3899688,0,32213049,36112737,81
dinajpur (north),2006,3,SEMI-MEDIUM (2.0 - 3.99),13520,2289,218,436,1526,109,1172096,0,0,0,3025645,27297588,22842258,5015483,3031096,545161,0,0,24559515,8041128,30328684,62929327,1188451,190806,23180258,24559515,0
dinajpur (north),2006,4,MEDIUM (4.0 - 9.99),1070,211,42,42,85,42,370933,0,0,0,427999,641999,328133,998666,142666,677666,0,0,1376732,1426665,784665,3588062,0,199733,1176999,1376732,0
dinajpur (north),2006,5,LARGE (10 AND ABOVE),11,3,0,0,3,0,0,0,0,0,0,0,0,9166,0,0,0,0,0,9166,0,9166,0,0,0,0,0
dinajpur (south),2006,1,MARGINAL (BELOW 1.0),157034,23982,2442,1046,19542,1744,9073075,0,0,0,4885502,0,58102579,20065455,8724111,4013091,1919304,0,71188745,26870261,8724111,106783117,11131965,6281359,53775421,71188745,348
dinajpur (south),2006,2,SMALL (1.0 - 1.99),40044,10789,706,403,9380,806,3832926,0,0,0,3530327,25216624,193618287,8724952,13919576,1613863,6606755,1008664,199065076,18862034,40144864,258071974,29834595,3674869,165555612,199065076,100
dinajpur (south),2006,3,SEMI-MEDIUM (2.0 - 3.99),16311,5480,300,300,4393,601,2437621,0,0,0,1444516,2287151,39567717,9509734,3611291,2407527,3129785,7222583,44412865,14084035,13121025,71617925,4068721,1414422,38929722,44412865,60
dinajpur (south),2006,4,MEDIUM (4.0 - 9.99),535,191,7,0,205,21,36643,0,0,0,0,0,1993424,2396521,263835,329794,0,447054,2359861,2396521,710889,5467271,432397,190547,1736917,2359861,7
dinajpur (south),2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hooghly,2006,1,MARGINAL (BELOW 1.0),293451,85899,48717,3438,27511,6877,508495560,0,0,0,33815642,0,164321097,125232506,34388789,46998011,2865732,11462929,719814668,161913880,45851718,927580266,124487416,44189593,551137659,719814668,573
hooghly,2006,2,SMALL (1.0 - 1.99),40339,17941,8186,711,6644,3084,169993291,0,0,0,14711870,0,110789877,32033911,0,45084764,33338997,1661017,325867932,80084778,1661017,407613727,51372902,10084749,264410281,325867932,118
hooghly,2006,3,SEMI-MEDIUM (2.0 - 3.99),7459,3854,1987,143,1372,512,39157700,0,0,0,1557373,0,29682311,8381129,1024587,6987689,5286873,983604,75827700,15225375,2008191,93061266,13331937,4799169,57696594,75827700,20
hooghly,2006,4,MEDIUM (4.0 - 9.99),1161,542,243,0,227,86,7005222,0,0,0,0,0,6236452,1341425,423608,2588716,0,3137837,15830390,1341425,3561445,20733260,2055283,400074,13375033,15830390,7
hooghly,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoogly,2016,1,MARGINAL (BELOW 1.0),304354,119312,89484,4419,13257,18781,2184899535,0,0,0,117102440,55237000,652625155,69046250,0,492161670,49160930,22094800,3329686360,235309620,77331800,3642327780,567891597,243705644,2518089119,3329686360,17675
hoogly,2016,2,SMALL (1.0 - 1.99),38964,22170,14906,943,4906,3679,1022409939,0,0,0,39339780,35849200,398020460,42453000,28302000,324761488,40660729,20754800,1745191887,122453509,84906000,1952551396,360614650,147217759,1237359478,1745191887,1227
hoogly,2016,3,SEMI-MEDIUM (2.0 - 3.99),5782,3267,1960,163,1111,327,197751510,0,0,0,7383420,11434500,120879000,104544000,101277000,38191230,980100,0,356821740,112907520,112711500,582440760,73785195,25792965,257243580,356821740,66
hoogly,2016,4,MEDIUM (4.0 - 9.99),687,362,253,0,36,72,22328800,0,0,0,0,0,14464000,0,0,5785600,1808000,0,42578400,1808000,0,44386400,6870400,8425280,27282720,42578400,0
hoogly,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howrah,2006,1,MARGINAL (BELOW 1.0),211523,22474,866,1733,13003,7802,4334487,0,0,0,35542799,0,58082135,42477979,12136565,62416622,20805540,0,124833244,98826318,12136565,235796127,22539336,0,102293908,124833244,866
howrah,2006,2,SMALL (1.0 - 1.99),12486,1347,168,168,590,421,928013,0,0,0,1687297,0,421824,1813844,3585506,4386972,0,0,5736809,3501141,3585506,12823456,1771662,168729,3796418,5736809,84
howrah,2006,3,SEMI-MEDIUM (2.0 - 3.99),883,125,0,0,75,50,0,0,0,0,0,0,1009142,252285,0,933457,0,0,1942599,252285,0,2194884,504571,0,1438028,1942599,0
howrah,2006,4,MEDIUM (4.0 - 9.99),90,20,0,0,0,20,0,0,0,0,0,0,0,0,0,550000,0,0,550000,0,0,550000,180000,0,370000,550000,10
howrah,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howrah,2016,1,MARGINAL (BELOW 1.0),203720,19817,11098,0,3171,5549,128414160,0,0,0,0,0,23780400,11890200,0,110975200,0,0,263169760,11890200,0,275059960,117712980,19024320,126432460,263169760,3964
howrah,2016,2,SMALL (1.0 - 1.99),14037,2123,1062,0,590,826,19463400,0,0,0,0,0,15334800,2005320,0,26541000,7077600,0,61339200,9082920,0,70422120,27130800,6487800,27720600,61339200,0
howrah,2016,3,SEMI-MEDIUM (2.0 - 3.99),583,109,73,36,36,36,3097400,0,0,0,728800,0,0,728800,0,1093200,0,0,4190600,1457600,0,5648200,1275400,364400,2550800,4190600,0
howrah,2016,4,MEDIUM (4.0 - 9.99),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howrah,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalpaiguri,2006,1,MARGINAL (BELOW 1.0),237307,30694,10625,1180,12986,5903,175914144,0,0,0,0,23612636,121605079,63754119,0,61392855,0,0,358912078,63754119,23612636,446278833,70837910,61983171,226090997,358912078,1180
jalpaiguri,2006,2,SMALL (1.0 - 1.99),47175,7214,2433,748,1872,2433,39312499,0,0,0,0,18720238,14601785,34445238,936011,21621874,7488095,16848214,75536158,41933333,36504463,153973954,14788988,5054464,55692706,75536158,187
jalpaiguri,2006,3,SEMI-MEDIUM (2.0 - 3.99),9854,2254,484,215,700,969,12923278,0,0,0,269234,5384699,12492502,5653934,2692349,20569551,538469,26937174,45985331,6461637,35014222,87461190,7700120,1383867,36901344,45985331,53
jalpaiguri,2006,4,MEDIUM (4.0 - 9.99),1104,262,86,21,151,86,2164705,0,0,0,0,649411,5087058,649411,0,1082352,0,6494117,8334115,649411,7143528,16127054,324705,649411,7359999,8334115,0
jalpaiguri,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalpaiguri,2016,1,MARGINAL (BELOW 1.0),126636,10296,3089,0,4118,4118,597144800,0,0,0,0,0,213118920,0,30886800,61773600,41182400,123547200,872037320,41182400,154434000,1067653720,18532080,262537800,590967440,872037320,6178
jalpaiguri,2016,2,SMALL (1.0 - 1.99),26636,4820,254,0,3805,1015,6342000,0,0,0,0,0,181634880,63420000,16489200,107814000,0,22831200,295790880,63420000,39320400,398531280,16489200,11415600,267886080,295790880,1776
jalpaiguri,2016,3,SEMI-MEDIUM (2.0 - 3.99),5621,1049,75,0,750,300,6370750,0,0,0,0,0,49467000,49579425,0,11242500,8244500,0,67080250,57823925,0,124904175,1499000,749500,64831750,67080250,0
jalpaiguri,2016,4,MEDIUM (4.0 - 9.99),255,46,0,0,23,23,0,0,0,0,0,0,2318000,0,0,0,1159000,0,2318000,1159000,0,3477000,0,0,2318000,2318000,0
jalpaiguri,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malda,2006,1,MARGINAL (BELOW 1.0),310478,53085,2413,4826,36999,8847,8847818,0,0,0,28956497,0,98854264,15684769,5630430,45847787,0,0,153549869,44641266,5630430,203821565,31530408,6072820,115946641,153549869,804
malda,2006,2,SMALL (1.0 - 1.99),49825,7182,179,718,4309,2154,628423,0,0,0,3815427,1256846,12748018,5566036,8636333,20019774,583536,0,33396215,9964999,9893179,53254393,7330110,2702220,23363885,33396215,89
malda,2006,3,SEMI-MEDIUM (2.0 - 3.99),14991,3649,228,286,2689,686,2174267,0,0,0,2403137,2860877,22600935,4577404,2088440,10356377,0,858263,35131579,6980541,5807580,47919700,3430192,1490517,30210870,35131579,57
malda,2006,4,MEDIUM (4.0 - 9.99),971,196,15,0,166,15,75859,0,0,0,0,0,2245437,0,606875,227578,0,0,2548874,0,606875,3155749,91031,0,2457843,2548874,15
malda,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malda,2016,1,MARGINAL (BELOW 1.0),331866,83714,64281,0,16444,2990,1528908975,0,0,0,0,0,355038750,0,0,26908200,0,0,1910855925,0,0,1910855925,1308784950,5232150,596838825,1910855925,13454
malda,2016,2,SMALL (1.0 - 1.99),49533,21929,14262,0,7361,613,1295884175,0,0,0,0,0,266675650,21469000,283697500,19168750,0,0,1581728575,21469000,283697500,1886895075,837981075,2300250,741447250,1581728575,1686
malda,2016,3,SEMI-MEDIUM (2.0 - 3.99),14073,7036,4316,0,2158,751,103764920,0,0,0,0,0,141199100,0,0,26832520,281,0,271796540,281,0,271796821,76416390,9569640,185810510,271796540,937
malda,2016,4,MEDIUM (4.0 - 9.99),548,183,183,0,0,0,4961720,0,0,0,0,0,0,0,0,0,0,0,4961720,0,0,4961720,2526520,0,2435200,4961720,61
malda,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nadia,2006,1,MARGINAL (BELOW 1.0),328923,87708,30349,9022,30349,20506,274375918,0,0,0,255920139,61519264,212446526,204243957,184967921,88587740,107043519,330563513,575410184,567207615,577050698,1719668497,64595227,22680102,488134855,575410184,820
nadia,2006,2,SMALL (1.0 - 1.99),75709,15254,4788,1938,5814,3762,59632239,0,0,0,25882444,17821260,43795832,52463372,36013197,16190780,36600284,51194790,119618851,114946100,105029247,339594198,15804253,5330415,98484183,119618851,114
nadia,2006,3,SEMI-MEDIUM (2.0 - 3.99),12386,4262,1121,654,1495,1168,15400705,0,0,0,17994754,2336981,11871864,11731645,21313267,5982671,19490422,12806656,33255240,49216821,36456904,118928965,6407675,2466309,24381256,33255240,46
nadia,2006,4,MEDIUM (4.0 - 9.99),792,332,89,38,140,89,1047483,0,0,0,510967,7025806,766451,1596774,1801161,0,3065806,1532903,1813934,5173547,10359870,17347351,229935,12774,1571225,1813934,12
nadia,2006,5,LARGE (10 AND ABOVE),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nadia,2016,1,MARGINAL (BELOW 1.0),343837,52779,36480,776,9314,7762,685349280,0,0,0,19404000,0,81496800,112543200,124185600,138932640,0,0,905778720,131947200,124185600,1161911520,17851680,50450400,837476640,905778720,6985
nadia,2016,2,SMALL (1.0 - 1.99),73985,12658,7202,218,3492,2619,282620800,0,0,0,6547200,0,61761920,81185280,46921600,126579200,16368000,0,470961920,104100480,46921600,621984000,41465600,17240960,412255360,470961920,654
nadia,2016,3,SEMI-MEDIUM (2.0 - 3.99),11120,2174,1338,84,585,669,68643810,0,0,0,334440,0,18394200,17056440,3678840,26504370,167220,167220,113542380,17558100,3846060,134946540,11454570,2341080,99746730,113542380,84
nadia,2016,4,MEDIUM (4.0 - 9.99),374,42,42,0,0,0,4156000,0,0,0,0,0,0,0,0,0,0,0,4156000,0,0,4156000,0,0,4156000,4156000,0
nadia,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north 24 parganas,2016,1,MARGINAL (BELOW 1.0),422398,52588,26294,0,16964,10178,367435908,0,0,0,0,0,187449990,98390040,41815767,212047500,0,0,766933398,98390040,41815767,907139205,189740103,53011875,524181420,766933398,9330
north 24 parganas,2016,2,SMALL (1.0 - 1.99),35743,12255,4879,0,3291,4085,120334935,0,0,0,0,0,65245250,141837500,1134700,56508060,3404100,20084190,242088245,145241600,21218890,408548735,67707549,19289900,155090796,242088245,113
north 24 parganas,2016,3,SEMI-MEDIUM (2.0 - 3.99),8779,3091,1422,0,618,1113,41135028,0,0,0,0,0,27819000,8036600,0,24542540,4945600,1236400,93496568,12982200,1236400,107715168,24054162,7851140,61591266,93496568,495
north 24 parganas,2016,4,MEDIUM (4.0 - 9.99),236,133,44,0,0,103,1032500,0,0,0,0,0,0,0,0,2891000,590000,2950000,3923500,590000,2950000,7463500,1165250,88500,2669750,3923500,0
north 24 parganas,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north dinajpur,2016,1,MARGINAL (BELOW 1.0),226546,8208,3283,547,2736,2736,78798240,0,0,0,10944200,0,85364760,0,0,30096550,27360500,0,194259550,38304700,0,232564250,60740310,5472100,128047140,194259550,10944
north dinajpur,2016,2,SMALL (1.0 - 1.99),48496,3453,1201,150,1501,601,31379260,0,0,0,3002800,0,40537800,6005600,49245920,11560780,24022400,0,83477840,33030800,49245920,165754560,22971420,17566380,42940040,83477840,2402
north dinajpur,2016,3,SEMI-MEDIUM (2.0 - 3.99),13583,1107,369,0,443,295,14542540,0,0,0,0,0,18012080,0,738200,13139960,0,0,45694580,0,738200,46432780,7529640,7382000,30782940,45694580,295
north dinajpur,2016,4,MEDIUM (4.0 - 9.99),509,54,27,0,0,27,2679000,0,0,0,0,0,0,0,0,0,0,1071600,2679000,0,1071600,3750600,1339500,803700,535800,2679000,27
north dinajpur,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paschim burdwan,2016,1,MARGINAL (BELOW 1.0),23486,500,167,0,0,333,4030994,0,0,0,0,0,0,0,0,3164830,0,0,7195824,0,0,7195824,832850,699594,5663380,7195824,1499
paschim burdwan,2016,2,SMALL (1.0 - 1.99),12758,403,134,0,269,0,1342900,0,0,0,0,0,13563290,0,0,0,0,0,14906190,0,0,14906190,0,0,14906190,14906190,1074
paschim burdwan,2016,3,SEMI-MEDIUM (2.0 - 3.99),4026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436
paschim burdwan,2016,4,MEDIUM (4.0 - 9.99),255,32,0,0,0,32,0,0,0,0,0,0,0,0,0,956400,0,0,956400,0,0,956400,0,0,956400,956400,64
paschim burdwan,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purba burdwan,2016,1,MARGINAL (BELOW 1.0),338380,122023,67676,0,32813,25122,1596137640,0,0,0,0,0,4591741200,225588000,7690500,440409300,10255538,90747900,6628288140,235843538,98438400,6962570078,476400840,154989210,5996898090,6628288140,32300
purba burdwan,2016,2,SMALL (1.0 - 1.99),84397,44706,24233,0,14623,7242,1151762900,0,0,0,0,0,4628638450,91918200,41363190,273763039,23675900,19497800,6054164389,115594100,60860990,6230619479,1731265370,997730280,3325168739,6054164389,9053
purba burdwan,2016,3,SEMI-MEDIUM (2.0 - 3.99),28528,15913,8369,190,4818,3867,662650460,0,0,0,9510000,10144000,1039785360,36138000,79250000,382428800,4438000,53763200,2084864620,50086000,143157200,2278107820,269411960,168136800,1647315860,2084864620,3297
purba burdwan,2016,4,MEDIUM (4.0 - 9.99),4006,2813,1222,0,881,739,68894250,0,0,0,0,0,106594320,2841000,48297000,84945900,14205000,0,260434470,17046000,48297000,325777470,65002080,9943500,185488890,260434470,767
purba burdwan,2016,5,LARGE (10 AND ABOVE),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purulia,2006,1,MARGINAL (BELOW 1.0),234716,7579,0,315,6949,315,0,0,0,0,0,2211321,13425881,947709,18006476,0,0,631806,13425881,947709,20849603,35223193,1263612,157951,12004318,13425881,315
purulia,2006,2,SMALL (1.0 - 1.99),60332,2196,183,91,1831,91,1922567,0,0,0,0,915508,6957863,366203,0,274652,0,0,9155082,366203,915508,10436793,1007059,137326,8010697,9155082,91
purulia,2006,3,SEMI-MEDIUM (2.0 - 3.99),16751,800,72,36,656,36,912363,0,0,0,0,182472,5437688,182472,682448,182472,0,0,6532523,182472,864920,7579915,1204320,383192,4945011,6532523,36
purulia,2006,4,MEDIUM (4.0 - 9.99),1544,147,29,0,89,29,299805,0,0,0,0,0,824466,0,449708,104932,0,0,1229203,0,449708,1678911,337281,67456,824466,1229203,14
purulia,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purulia,2016,1,MARGINAL (BELOW 1.0),258644,1925,321,0,321,1284,1604500,0,0,0,0,0,1604500,0,0,497395000,0,0,500604000,0,0,500604000,65142700,425513400,9947900,500604000,5777
